news_title	news_body
Arizona Democrats “needed a lawsuit to force them to remove 50,000 noncitizens from voter rolls.”	"A Fox News report misinterpreted what Arizona county election officials agreed to do as part of a legal settlement, sparking inaccurate claims that Arizona was removing 50,000 noncitizen voters from its voter rolls. Arizona election officials agreed to ask the U.S. Homeland Security Department to help verify the citizenship of people on their voter rolls whose citizenship had not been verified. The settlement did not include a commitment to remove thousands of people from state voter rolls. In Arizona, and in every U.S. state, people can register to vote in federal elections as long as they attest under penalty of perjury that they are citizens. In Arizona, these voters are known as ""federal only"" voters. In order to vote in state and local elections, however, Arizonans must additionally provide proof of citizenship."
Former U.S. Rep. Liz Cheney wrote a viral letter to Democrats suggesting steps to take against the Trump administration.	"Former U.S. Rep. Liz Cheney did not write the letter. It was posted in a Facebook group called ""Liz Cheney/Adam Kinzinger Against Trump."""
Cody Balmer, the person charged with setting fire to Pennsylvania governor’s residence, posted a photo that said “F— Trump.”	"In April 2020, a Facebook post from an account that belongs to a ""Cody Balmer"" shared a photo of a bearded man wearing a face mask with a cigarette stuck in it. The photo didn’t include red text that said ""F--- Trump,"" as social media posts claimed. Cody Balmer, 38, of Harrisburg, Pennsylvania, was named a suspect in the April 13 arson at the Pennsylvania governor’s home. Authorities are still investigating and have not stated a motive in the attack."
Photos and videos show Washington, D.C., protests against White House adviser Elon Musk are “staged & paid — bussed in, scripted, clocked out.”	PolitiFact examined social media posts claiming that April 5 protesters in Washington, D.C., and elsewhere were paid, but none of the claims held up to scrutiny. Videos misleadingly framed normal protesting and organizing activities — including similar signage and coordinated transportation— as evidence that protesters were paid hourly workers. An expert told PolitiFact those activities aren’t signs that people are paid to protest; they show organizers’ attempts to make political engagement more accessible. Other supposed evidence included satire videos and Craigslist ads to sell merchandise.
In 2024, “China made 1 trillion off trade with the United States.”	One way to look at President Donald Trump’s statement is to consider the value of Chinese exports to the U.S. In 2024, goods China exported to the U.S. amounted to $439 billion, less than half Trump’s $1 trillion total. Another way to look at it is to consider the size of the United States’ trade deficit in goods with China. In 2024, that was $295 billion, less than one-third of Trump’s $1 trillion total. Adding in the trade in services to the trade in goods does not significantly change the calculation.
The U.S. is “taking in almost 2 billion a day in tariffs.”	President Donald Trump provided no evidence that the U.S. was taking in almost $2 billion a day from his tariffs. The Treasury Department shows a much lower figure. The tariff collections figure might approach $2 billion if the now-paused tariff rates that Trump later rescinded were applied to past trade amounts. But that would assume that trade levels would remain unchanged when tariffs are in effect, which economists say is doubtful. In reality, tariff rates are expected to increase prices, which in turn is expected to decrease imports. This means that any estimate that uses past levels of commerce would produce implausibly high revenue projections.
Says Kevin Hassett, National Economic Council director, said on April 7, “Trump is considering a 90-day pause in tariffs for all countries except China.”	"X accounts significantly exaggerated a noncommittal response from National Economic Council Director Kevin Hassett about the possibility of a 90-day tariff pause. CNBC anchors repeated the unconfirmed information and later aired a correction. The White House X account called the speculation ""fake news"". Searching Google and the Nexis news database, we found no credible reports that the Trump administration ever publicly considered a 90-day tariff pause."
Says Cleveland Clinic said, “Millions of COVID-vaxxed will die within ‘5 years.’”	The Cleveland Clinic didn’t say this.
Photo shows “Pope Francis, shaking the hand of the priest of the Church of Satan.”	This image was fabricated.
“Caitlin Clark stuns the globe, rejects Elon Musk’s 15 million offer.”	This claim is unfounded.
Conservative activist Laura Loomer’s reporting proves “Alex Wong is the individual who added (journalist) Jeffrey Goldberg” to the Trump administration Signal group text about bombing Yemen.	National Security Adviser Michael Waltz said publicly he was responsible for journalist Jeffrey Goldberg erroneously being added to the Trump administration Signal group text about bombing Yemen.
“Daughter of boxing legend, Muhammed Ali, Laila Ali, has lost her life while giving birth in a Canadian hospital.”	Retired boxer Laila Ali didn’t die.
“Elon Musk called for a boycott of ‘The View,’ labeling it ‘a meeting place for ignorant women.”’	This claim is unfounded.
Kilmar Armado Abrego-Garcia “was a convicted MS-13 gang member.”	An attorney for Kilmar Armando Abrego Garcia, who says he was wrongfully deported to El Salvador, told PolitiFact that his client has never been convicted of any crime. We also found no court evidence he had been convicted. Vice President JD Vance appeared to be referring to two denials of bond requests in which immigration courts relied on allegations that Abrego Garcia was a gang member as a reason for denying bond. Vance’s office did not respond to our inquiries. Abrego Garcia’s legal team denies allegations that he was a gang member. He has never been tried for or convicted of gang-related charges or other crimes.
President Donald Trump “just suggested replacing pride month with veterans month in honor of those who served.”	PolitiFact found no evidence, such as news releases, or any credible reporting that President Donald Trump proposed this change. Every year since 2017, both Trump and former President Joe Biden have declared November as a month to celebrate veterans.
Screenshots show Speaker Mike Johnson messaging on Grindr.	The TikTok video used a cropped version of a publicly available photo of House Speaker Mike Johnson, R-La., taken by a fellow House member at a March 4 event, alongside what looked like screenshots of a Grindr app chat. Fake Grindr conversations are easy to create using online generators. The owner of the TikTok account that shared these messages told PolitiFact that his source said the message thread was two years old. But it included a photo taken in March.
On PBS, ”they now have drag queen storytime instead of good old ‘Sesame Street.’”	"""Sesame Street"" continues airing on PBS. The newest season will begin airing in the fall. Rep. Marjorie Taylor Greene, R-Ga., referenced one 2021 segment of the show ""Let’s Learn"" that featured a drag queen. ""Let’s Learn"" is created and funded by a local PBS member station and the New York City Department of Education, not the national PBS organization. PBS CEO Paula Kerger said the segment was never broadcast, and the local station put it on the national PBS website by mistake before being removed. Screenshots Greene shared indicate the episode was available online for two months."
Elon Musk funded a Neuralink implant procedure for a 7-year-old girl “who was diagnosed with a rare neurological disorder.”	Billionaire businessman Elon Musk in 2016 co-founded Neuralink Corp., a technology company that creates implantable computer chips for the human brain. On its website, Neuralink has named three Neuralink chip recipients, but none were a 7-year-old named Lily Thompson. An expert told PolitiFact the image of Musk at a girl’s bedside was likely generated using artificial intelligence.
If you update your iPhone to iOS 18.3, you are going to have Starlink automatically installed in your phone.	Starlink isn’t automatically installed on iPhones when users update to iOS 18.3. T-Mobile and SpaceX partnered to provide Starlink access on phones, but that service is only available to users who opt in. Starlink and T-Mobile provide the service for many smartphones — androids and iPhones. Until July, it is free to those who sign up.
“Hillary Clinton was sending classified documents that were stamped TS or TSSCI.”	"As secretary of state, Hillary Clinton used a personal email address, which meant its data was housed on private servers in her New York home. The emails were the subject of FBI and congressional scrutiny, but none of the investigations determined that Clinton sent emails that were marked ""top secret."" A 2019 State Department report said ""none of the emails"" reviewed in the Clinton case ""were marked as classified."" A 2018 Justice Department report said that the emails ""lacked proper classification markings."""
Phoenix’s increased wildfire risk is linked to Bill Gates’ “smart city” plans.	Phoenix’s increased wildfire risk is based on factors such as climate change and highly flammable invasive plants, a recent report found. In 2017, a Bill Gates-linked investment firm spent $80 million on a 24,800-acre property named Belmont located just outside Buckeye, Arizona, and a press release about the purchase described plans for something akin to a smart city. The land remains undeveloped and there’s no credible information linking it to wildfire risk.
“Canada makes bold decision to shut down Tesla and the US auto industry.”	Tesla and other American car companies have not shut down sales in Canada. PolitiFact found no credible news or official statements saying thatAmerican vehicles are no longer being sold in Canada.
People can get student debt “erased” by filing Family Educational Rights and Privacy Act complaints because the Department of Government Efficiency accessed federal student loan databases.	People can file Family Educational Rights and Privacy Act complaints against individual higher education institutions for student data breach concerns. But these complaints have no bearing on federal student loan status. A federal judge ruled the Department of Government Efficiency’s access to the federal loan student databases constituted a likely violation of federal privacy laws; the matter remains under litigation.
Elon Musk said “Tesla is finished” and needs “drastic changes immediately.”	"We found no evidence that Tesla CEO Elon Musk ever made these claims. Musk claimed in a March 20 meeting that Tesla’s future was ""bright and exciting."""
”Nobody was texting war plans” in the Trump administration Signal group text about bombing Yemen.	"Messages shared on the Signal app did not include the most extensive type of plans the military produces, but included a detailed timeline and operational information about a Yemen bombing. Military experts said that the texts included sensitive operational details about military action, which is akin to a plan. Trump administration officials say that a lack of details, such as names, locations and methods, means it was not a ""war plan."" Multiple experts called this disingenuous."
Defense Secretary Pete Hegseth “removed Colin Powell’s name from a list of notable Americans buried at Arlington National Cemetery.”	"As of March 25, a short bio of Gen. Colin Powell appeared on Arlington National Cemetery’s ""Notable Graves"" list, among people categorized as ""Prominent Military Figures."" An Arlington National Cemetery spokesperson told PolitiFact on March 24 that about 40 names had been temporarily removed from its ""Notable Graves"" list, then were restored. The spokesperson said Powell’s remained on the website the entire time. The cemetery appears to have permanently removed several categories for notable people, including ""African American History,"" ""Hispanic American History"" and ""Women’s History."""
Netflix show “Adolescence” is based on Southport, England, knife attacker but the show “race swapped the actual killer from a black man/migrant to a white boy.”	"The storyline of Netflix’s ""Adolescence"" was not based on a particular crime but was influenced by news reports of young boys stabbing girls in England, its co-creator said. Netflix announced the series in March 2024 and began filming in early July 2024. In Southport, a town in England, a 17-year-old boy stabbed three young girls to death on July 29, 2024. The perpetrator was not a migrant, as this X post said."
